Date,Adj Close AVAL,Close AVAL,Dividends AVAL,High AVAL,Low AVAL,Open AVAL,Stock Splits AVAL,Volume AVAL,Day_of_Week,Month,Year,Quarter,SMA_7,SMA_21,Volatility_7,Daily_Return,Cumulative_Return,RSI,Momentum,BB_middle,BB_upper,BB_lower
2014-11-25,7.52825927734375,12.859999656677246,0.047,13.149999618530272,12.779999732971191,13.140000343322754,0.0,534300,Tuesday,11,2014,4,7.696728025163923,7.780938806987944,0.10354041172333518,-0.013273822741576735,0.9571348538338647,31.539204259942764,-0.27626562118530273,7.7849363565444945,7.982627406912438,7.587245306176551
2014-11-26,7.610217571258545,13.0,0.0,13.079999923706056,12.81999969482422,12.850000381469728,0.0,663200,Wednesday,11,2014,4,7.667303425925119,7.7766164143880205,0.09262469343582966,0.010886752288334245,0.9675549438940849,41.64144881229978,-0.20597219467163086,7.776329135894775,7.988920496179614,7.563737775609936
2014-11-28,7.270685195922852,12.420000076293944,0.0,13.050000190734863,12.380000114440918,13.050000190734863,0.0,392300,Friday,11,2014,4,7.5952068737574985,7.752250853038969,0.1636664193894844,-0.04461533092273251,0.9243871598863245,26.941667067347822,-0.5046758651733398,7.748178863525391,8.056387048644941,7.43997067840584
2014-12-01,7.106766223907471,12.140000343322754,0.0,12.710000038146973,11.960000038146973,12.460000038146973,0.0,1881100,Monday,12,2014,4,7.497193881443569,7.717635404495966,0.22097623671562722,-0.022545189015651612,0.9035466766430459,20.503522177402814,-0.6860909461975089,7.710374546051026,8.126089565255322,7.294659526846729
2014-12-02,6.948714256286621,11.869999885559082,0.0,12.130000114440918,11.68000030517578,12.119999885559082,0.0,449000,Tuesday,12,2014,4,7.394934586116245,7.674105008443196,0.28653475292715125,-0.022239646365340704,0.8834521180799257,18.326867982128647,-0.7158150672912598,7.666417336463928,8.199248769460496,7.133585903467359
2014-12-03,6.989687442779541,11.9399995803833,0.0,12.09000015258789,11.779999732971191,11.8100004196167,0.0,2938400,Wednesday,12,2014,4,7.297694614955357,7.634192103431339,0.2929123315171021,0.0058965133666060154,0.8886614053029405,16.63959215121899,-0.6806797981262207,7.6207173585891725,8.220448182776993,7.020986534401352
2014-12-04,7.013107299804688,11.979999542236328,0.0,12.18000030517578,11.75,12.18000030517578,0.0,467300,Thursday,12,2014,4,7.209633895329067,7.591783546266102,0.268134492804341,0.0033506300842307546,0.8916389809422433,20.90993571738447,-0.6164250373840323,7.578230094909668,8.22433961989627,6.932120569923066
2014-12-05,6.919445514678955,11.81999969482422,0.0,12.015000343322754,11.640000343322754,12.0,0.0,1942100,Friday,12,2014,4,7.1226605006626675,7.546859400612967,0.24532740026693506,-0.013355247698597417,0.8797309214940346,14.533832368281068,-0.6088137626647949,7.536309266090393,8.239610588524252,6.8330079436565345
2014-12-08,6.919445514678955,11.81999969482422,0.0,12.1899995803833,11.760000228881836,11.869999885559082,0.0,128400,Monday,12,2014,4,7.023978778294155,7.506934801737468,0.12684048845131657,0.0,0.8797309214940346,13.727312319732007,-0.6907720565795898,7.491763687133789,8.233772066571108,6.74975530769647
2014-12-09,6.720405578613281,11.479999542236328,0.0,11.84000015258789,11.4399995803833,11.84000015258789,0.0,444200,Tuesday,12,2014,4,6.945367404392788,7.4550323486328125,0.11871917240704785,-0.02876530144553191,0.8544251963463032,12.169703369978052,-0.5502796173095703,7.434641337394714,8.230322466367586,6.6389602084218415
